partid,sich1d,sich2d,sich3d,sich4r,nati1d,nati2r,nati3d,nati4d,simi1d,simi2d,simi3r,simi4d,trutm1,trutm2,trutm3,trunm1,trunm2,trunm3,atnucl,atther,athydr,atgeot,atwind,trugo1,trugo2,trugo3,truco1,truco2,truco3,expval,expsrc,ttext1,ttext2,ttext3,ehydr1,ehydr2,ehydr3,ehydr4,ehydr5,ehydr6,ehydr7,ehydr8,acnucl,acther,achydr,acgeot,acwind,gender,ethnic,ageyea,edupar,polori,source
2366,1,1,2,1,2,-2,0,0,0,2,2,0,1,1,0,2,1,0,-3,-3,1,2,2,-2,0,-1,1,0,0,-1,0,2,2,2,0,-1,0,-3,-1,0,0,-2,-3,-3,-2,0,2,0,4,24,4,3,402
2368,1,-1,-2,0,2,-3,0,0,0,0,0,0,1,1,0,0,0,-1,-1,1,0,-2,3,-1,-1,2,-2,0,0,1,0,0,0,0,-1,0,0,-2,-1,-3,-1,-3,-2,-1,-1,0,2,0,1,22,2, ,402
2369,3,-2,-2,3,3,-1,-1,-1,3,1,3,3,0,0,0,0,0,0,-3,-3,2,2,3,-3,-3,-2,-1,-3,-3,1,-1,2,2,2,3,3,3,2,2,2,2,1,-3,-3,2,2,3,0,5,23,6,3,402
2370,2,0,-2,-2,3,-2,3,-2,0,0,0,0,3,-3,-3,-3,-3,-2,-1,2,3,3,3,3,3,3,3,3,3,0,1,3,2,2,3,3,3,3,3,3,1,2,-2,2,3,2,3,0,2,21,2,7,402
2371,2,2,0,-1,3,-2,0,0,0,3,1,-2,2,2,1,2,-1,3,-3,0,-3,-3,2,3, ,2,0,2,3,0,0,-3,-3,-3,-3,1,-1,-3,1,-3,-3,-3,-3,0,-3,-3,1,0,4,24,5,5,402
2374,1,1,3,0,3,-1,3,3,0,0,1,-3,3,2, ,0,0,3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-1,1,3,3,3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3, ,4,20,4,4,402
2376,3,3,3,0,3,-2,3,1,-3,3,0,0,-3,-3,-3,-3,-3,1,-3,-3,3,-3,3,1,1,1,0,0,0,1,1,0,0,0,0,3,2,2,1,2,2,2,-3,-3,3,-3,3,0,7,22,4,5,402
2377,2,2,2,1,2,0,2,1,2,2,2,0,1,2,1,1,1,2,-3,-2,-2,0,0,0,0,-2,0,-1,-2,1,0,-3,-2,0,0,1,0,-3,-3,-1,-2,-3,-3,-3,-3,-2,1,0,2,22,3,4,402
2378,-3,0,-3,-2,2,-2,-2,-1,0,0,0,0,-3,-3,-3,-3,-3,-3,-2,2,2,2,2,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,1,1,1,-2,1,-2,-2,-1,-2,2,2,2,2,0,2,20,3,3,402
2381,1, ,2,-2,3,-2, ,-2,1,1,1,1,3,0,0,0,0,0,-2,-2,1,2,3,0,0,0,0,0,0,0,-1,1,0,-1,-3,0,2,-3,0,0,0,-2,-3,-2,-1,2,2,0,4,21,6,5,402
2382,1,-1,-2,-1,-1,-3,-2,-1,2,3,3,0,-2,-2,0,0,3,1,-3,-2,-2,3,3,-2,-2,-3,-2,-3,-3,-1,-1,3,3,3,0,-2,0,-3,-2,-2,-3,-3,-3,-2,-3,-1,3, ,4,21,3,1,402
2383,1,0,2,0,3,-3,0,0,0,1,-1,-1,2,2,0,0,0,3,-3,-2,-3,3,3,-3,-3,-3,-3,2,-2,-1,1,2,3,3,-3,1,-2,-3,2,-3,-3,-3,-3,0,-2,3,3, ,7,20,2,4,402
2384,3,1,0,0,1,-3,0,-1,0,3,2,-1,2,2,0,0,1,1,-3,-1,-2,-1,3,-2,-2,-3,3,-2,-2,-1,0,1,-3,-1,-2,1,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,3,0,5,22,3, ,402
2386,2,2,1,0,3,-3,1,0,-1,1,0,-1,3,2,0,0,0,0,3,3,3,3,3,3,2,3,2,1,1,1,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,4,22,5,6,402
